year_key,league_key,team_key,park_key,games,openings,attendance
1902,AL,CLE,CAN01,1,0,0
1902,AL,CLE,CLE05,60,0,0
1902,AL,CLE,COL03,1,0,0
1902,AL,CLE,DAY01,1,0,0
1902,AL,CLE,FOR03,2,0,0
1902,AL,DET,DET02,57,0,0
1902,AL,DET,DET03,10,0,0
1902,NL,NY1,NYC10,71,0,0
1902,AL,PHA,PHI10,73,0,0
1902,NL,PHI,PHI09,69,0,0
1902,NL,PIT,PIT05,71,0,0
1902,AL,SLA,STL06,73,0,0
1902,NL,SLN,STL05,70,0,0
1902,AL,WS1,WAS07,68,0,0
1903,AL,BOS,BOS06,70,0,0
1903,NL,BRO,NYC12,73,0,0
1903,NL,BSN,BOS05,67,0,0
1903,NL,BSN,WAR01,1,0,0
1903,AL,CHA,CHI09,70,0,0
1903,NL,CHN,CHI08,73,0,0
1903,NL,CIN,CIN06,76,0,0
1903,AL,CLE,CAN01,2,0,0
1903,AL,CLE,CLE05,71,0,0
1903,AL,CLE,COL03,1,0,0
1903,AL,DET,DET02,62,0,0
1903,AL,DET,GRA01,1,0,0
1903,AL,DET,TOL04,2,0,0
1903,NL,NY1,NYC10,70,0,0
1903,AL,NYA,NYC13,67,0,0
1903,AL,PHA,PHI10,67,0,0
1903,NL,PHI,PHI09,45,0,0
1903,NL,PHI,PHI10,16,0,0
1903,NL,PIT,PIT05,70,0,0
1903,AL,SLA,STL06,70,0,0
1903,NL,SLN,STL05,69,0,0
1903,AL,WS1,WAS07,71,0,0
1904,AL,BOS,BOS06,81,0,0
1904,NL,BRO,NYC12,76,0,0
1904,NL,BSN,BOS05,79,0,0
1904,AL,CHA,CHI09,78,0,0
1904,NL,CHN,CHI08,78,0,0
1904,NL,CIN,CIN06,79,0,0
1904,AL,CLE,CLE05,78,0,0
1904,AL,DET,DET02,79,0,0
1904,NL,NY1,NYC10,84,0,0
1904,AL,NYA,NWK01,1,0,0
1904,AL,NYA,NYC13,74,0,0
1904,AL,PHA,PHI10,79,0,0
1904,NL,PHI,PHI09,73,0,0
1904,NL,PIT,PIT05,78,0,0
1904,AL,SLA,STL06,78,0,0
1904,NL,SLN,STL05,76,0,0
1904,AL,WS1,WAS08,78,0,0
1905,AL,BOS,BOS06,77,0,0
1905,NL,BRO,NYC12,77,0,0
1905,NL,BSN,BOS05,76,0,0
1905,AL,CHA,CHI09,82,0,0
1905,NL,CHN,CHI08,81,0,0
1905,NL,CIN,CIN06,79,0,0
1905,AL,CLE,CLE05,77,0,0
1905,AL,DET,COL04,2,0,0
1905,AL,DET,DET02,74,0,0
1905,NL,NY1,NYC10,76,0,0
1905,AL,NYA,NYC13,75,0,0
1905,AL,PHA,PHI10,74,0,0
1905,NL,PHI,PHI09,76,0,0
1905,NL,PIT,PIT05,78,0,0
1905,AL,SLA,STL06,79,0,0
1905,NL,SLN,STL05,77,0,0
1905,AL,WS1,WAS08,77,0,0
1906,AL,BOS,BOS06,77,2,11156
1906,NL,BRO,NYC12,76,8,57500
1906,NL,BSN,BOS05,76,5,11333
1906,AL,CHA,CHI09,79,13,140297
1906,NL,CHN,CHI08,79,13,118000
1906,NL,CIN,CIN06,78,4,16000
1906,AL,CLE,CLE05,79,1,11081
1906,AL,DET,DET02,78,1,317
1906,NL,NY1,NYC10,75,10,104450
1906,AL,NYA,NYC13,76,5,44500
1906,AL,PHA,PHI10,73,6,74970
1906,NL,PHI,PHI09,77,1,4582
1906,NL,PIT,PIT05,77,7,79717
1906,AL,SLA,STL06,76,3,20800
1906,NL,SLN,STL05,77,2,25000
1906,AL,WS1,WAS08,75,6,26933
1907,AL,BOS,BOS06,78,0,0
1907,NL,BRO,NYC12,77,0,0
1907,NL,BSN,BOS05,74,0,0
1907,AL,CHA,CHI09,79,0,0
1907,NL,CHN,CHI08,76,0,0
1907,NL,CIN,CIN06,81,0,0
1907,AL,CLE,CLE05,82,0,0
1907,AL,DET,DET02,79,0,0
1907,NL,NY1,NYC10,77,0,0
1907,AL,NYA,NYC13,75,0,0
1907,AL,PHA,PHI10,73,0,0
1907,NL,PHI,PHI09,75,0,0
1907,NL,PIT,PIT05,77,0,0
1907,AL,SLA,STL06,76,0,0
1907,NL,SLN,STL05,79,0,0
